이벤트,자산,사전(%),+1일(%),+5일(%),+20일(%),+60일(%)
COVID-19 충,samsung,-23.36,-23.7,-19.66,,-6.57
COVID-19 충,kospi,-26.52,-27.68,-22.14,,1.5
COVID-19 충,sp500,-27.88,-30.68,-20.9,-14.94,-9.9
COVID-19 충,usdkrw,4.69,6.29,4.11,3.39,0.61
COVID-19 충,wti,-59.86,-55.8,-55.47,-60.24,-22.05
미연준 첫 금리인상,samsung,-3.96,-3.69,-3.55,-5.53,-4.36
미연준 첫 금리인상,kospi,-5.43,-2.8,-1.34,-2.01,0.35
미연준 첫 금리인상,sp500,-5.29,-1.97,-0.98,-1.2,-7.95
미연준 첫 금리인상,usdkrw,3.06,1.48,0.82,1.95,4.1
미연준 첫 금리인상,wti,7.83,15.14,28.5,16.56,35.41
반도체 업황 반등 ,samsung,-4.96,-0.88,-0.72,1.23,2.29
반도체 업황 반등 ,kospi,-6.79,-3.27,-1.79,0.69,-0.07
반도체 업황 반등 ,sp500,-4.65,-2.55,0.13,3.78,5.21
반도체 업황 반등 ,usdkrw,-4.92,-6.28,-7.31,-8.37,-3.02
반도체 업황 반등 ,wti,0.8,2.11,9.27,0.01,3.36
